Time,D1,D2,D3,D4,D5
1.2023,3573604.61,13745.65,0,3215952.54,6803302.96
2.2023,2589915.37,58714.26,0,2689108.33,5337737.92
3.2023,1745971.18,192943.46,0,3308435.19,5247349.84
4.2023,840471.42,305477.69,0,2500230.64,3646179.96
5.2023,1418556.13,627098.23,0,1075934.29,3121588.87
6.2023,1328393.76,944973.67,0,665747.86,2939115.4
7.2023,1679778.36,1158803.04,0,108136.82,2946718.29
8.2023,1947611.75,1145999.91,0,117002.76,3210614.7
9.2023,2115769.56,745728.81,0,280740.01,3142238.64
10.2023,2398809.73,528235.93,0,744599.33,3671644.95
11.2023,1951819.92,157522.07,0,1716540.54,3825882.54
12.2023,3164519.03,69388.66,0,2657694.41,5891602.25
